iter	Passed	Remaining
0	3	3129
1	6	3242
2	9	3010
3	11	2904
4	14	2891
5	17	2951
6	20	2889
7	22	2832
8	25	2771
9	27	2711
10	29	2661
11	31	2632
12	34	2623
13	36	2599
14	38	2539
15	41	2522
16	43	2495
17	45	2477
18	48	2478
19	49	2449
20	52	2439
21	54	2429
22	57	2422
23	59	2424
24	62	2432
25	63	2387
26	65	2350
27	67	2346
28	70	2346
29	72	2341
30	75	2357
31	77	2348
32	80	2352
33	82	2344
34	84	2336
35	86	2329
36	89	2323
37	91	2325
38	94	2331
39	96	2321
40	98	2303
41	101	2305
42	103	2304
43	105	2300
44	108	2301
45	110	2295
46	112	2285
47	114	2280
48	117	2276
49	119	2270
50	122	2272
51	123	2251
52	125	2249
53	131	2297
54	133	2295
55	135	2278
56	137	2275
57	138	2254
58	141	2255
59	143	2251
60	145	2244
61	148	2239
62	150	2235
63	152	2229
64	155	2229
65	157	2225
66	159	2219
67	163	2234
68	166	2249
69	170	2258
70	174	2277
71	177	2285
72	180	2292
73	182	2288
74	185	2292
75	188	2289
76	191	2295
77	194	2297
78	196	2294
79	200	2309
80	203	2313
81	206	2308
82	208	2302
83	210	2300
84	214	2310
85	217	2313
86	221	2328
87	225	2341
88	230	2362
89	238	2407
90	241	2415
91	244	2413
92	247	2414
93	250	2410
94	252	2409
95	262	2470
96	266	2477
97	268	2472
98	271	2473
99	274	2470
100	278	2479
101	281	2479
102	283	2465
103	285	2461
104	288	2457
105	290	2451
106	294	2458
107	297	2454
108	299	2450
109	302	2449
110	305	2446
111	307	2436
112	309	2429
113	314	2446
114	319	2458
115	321	2449
116	324	2451
117	328	2451
118	331	2454
119	335	2458
120	337	2454
121	343	2470
122	345	2465
123	347	2452
124	350	2450
125	352	2446
126	356	2447
127	358	2442
128	360	2432
129	369	2471
130	376	2498
131	379	2493
132	382	2493
133	385	2494
134	391	2508
135	395	2512
136	398	2509
137	407	2547
138	410	2543
139	412	2531
140	414	2527
141	422	2553
142	425	2547
143	427	2541
144	430	2535
145	435	2547
146	438	2542
147	442	2547
148	445	2546
149	453	2567
150	456	2567
151	458	2557
152	461	2555
153	466	2563
154	469	2559
155	470	2547
156	473	2544
157	476	2541
158	485	2567
159	488	2566
160	492	2567
161	502	2599
162	504	2592
163	507	2587
164	515	2606
165	517	2602
166	519	2589
167	521	2583
168	527	2593
169	532	2601
170	535	2595
171	537	2589
172	540	2583
173	545	2590
174	548	2586
175	551	2580
176	553	2574
177	555	2567
178	563	2584
179	566	2579
180	568	2574
181	571	2570
182	577	2577
183	581	2578
184	583	2571
185	586	2568
186	593	2580
187	597	2580
188	601	2583
189	608	2593
190	610	2585
191	612	2576
192	614	2571
193	617	2565
194	624	2578
195	627	2573
196	629	2567
197	632	2562
198	641	2580
199	643	2573
200	646	2568
201	649	2564
202	653	2565
203	655	2559
204	657	2549
205	660	2543
206	662	2537
207	671	2557
208	674	2554
209	678	2553
210	682	2553
211	686	2550
212	689	2548
213	692	2544
214	694	2537
215	702	2550
216	706	2548
217	709	2546
218	715	2553
219	719	2550
220	723	2549
221	726	2545
222	729	2542
223	732	2536
224	735	2533
225	737	2527
226	741	2526
227	749	2539
228	753	2535
229	755	2530
230	760	2530
231	762	2525
232	765	2518
233	768	2514
234	770	2509
235	772	2502
236	779	2509
237	784	2511
238	787	2506
239	793	2512
240	796	2509
241	800	2505
242	803	2503
243	807	2500
244	811	2499
245	813	2492
246	816	2488
247	819	2483
248	823	2483
249	827	2483
250	831	2480
251	834	2475
252	839	2479
253	843	2476
254	845	2470
255	848	2465
256	851	2462
257	857	2465
258	860	2461
259	864	2460
260	868	2459
261	872	2457
262	875	2453
263	879	2450
264	883	2450
265	887	2447
266	891	2447
267	894	2444
268	900	2448
269	905	2448
270	909	2445
271	912	2442
272	916	2440
273	919	2436
274	923	2434
275	925	2428
276	931	2430
277	934	2427
278	937	2422
279	939	2415
280	943	2413
281	948	2415
282	951	2411
283	954	2407
284	957	2403
285	959	2396
286	962	2391
287	966	2388
288	969	2384
289	974	2384
290	976	2378
291	978	2373
292	981	2368
293	983	2362
294	988	2361
295	990	2355
296	992	2349
297	995	2345
298	997	2339
299	1013	2364
300	1015	2358
301	1017	2352
302	1022	2351
303	1024	2345
304	1026	2339
305	1029	2334
306	1033	2332
307	1039	2336
308	1043	2332
309	1046	2328
310	1049	2324
311	1053	2323
312	1058	2322
313	1061	2318
314	1064	2314
315	1070	2318
316	1073	2312
317	1075	2306
318	1078	2302
319	1083	2301
320	1088	2303
321	1092	2301
322	1098	2301
323	1101	2297
324	1104	2293
325	1107	2289
326	1110	2285
327	1116	2287
328	1119	2282
329	1122	2279
330	1126	2276
331	1130	2274
332	1132	2269
333	1137	2267
334	1140	2263
335	1142	2257
336	1148	2259
337	1151	2254
338	1153	2249
339	1157	2247
340	1164	2250
341	1168	2247
342	1172	2244
343	1176	2244
344	1180	2241
345	1184	2238
346	1187	2234
347	1190	2229
348	1196	2230
349	1199	2227
350	1201	2222
351	1204	2216
352	1209	2217
353	1213	2214
354	1215	2209
355	1221	2208
356	1223	2203
357	1227	2200
358	1230	2196
359	1232	2191
360	1234	2185
361	1241	2188
362	1244	2183
363	1248	2180
364	1252	2179
365	1260	2184
366	1264	2180
367	1268	2178
368	1271	2174
369	1274	2169
370	1277	2166
371	1280	2161
372	1286	2162
373	1288	2157
374	1291	2151
375	1294	2148
376	1299	2147
377	1304	2146
378	1307	2142
379	1311	2139
380	1316	2138
381	1320	2135
382	1323	2131
383	1326	2128
384	1332	2128
385	1335	2123
386	1338	2120
387	1342	2117
388	1347	2117
389	1350	2112
390	1353	2107
391	1356	2103
392	1359	2099
393	1366	2102
394	1369	2098
395	1372	2093
396	1376	2090
397	1385	2095
398	1388	2090
399	1390	2085
400	1393	2081
401	1396	2077
402	1400	2074
403	1403	2069
404	1406	2066
405	1409	2062
406	1412	2057
407	1416	2055
408	1421	2054
409	1428	2056
410	1431	2050
411	1434	2047
412	1437	2043
413	1441	2040
414	1444	2036
415	1446	2030
416	1447	2024
417	1452	2021
418	1456	2020
419	1460	2016
420	1463	2012
421	1466	2008
422	1472	2008
423	1476	2006
424	1480	2002
425	1483	1999
426	1489	1999
427	1492	1994
428	1496	1991
429	1500	1989
430	1503	1985
431	1507	1981
432	1509	1976
433	1513	1973
434	1515	1968
435	1522	1969
436	1526	1966
437	1529	1962
438	1532	1958
439	1538	1957
440	1542	1954
441	1545	1951
442	1551	1950
443	1554	1946
444	1556	1941
445	1559	1937
446	1563	1934
447	1569	1934
448	1573	1930
449	1578	1928
450	1582	1926
451	1586	1923
452	1588	1918
453	1591	1913
454	1593	1909
455	1597	1905
456	1600	1901
457	1605	1900
458	1609	1897
459	1613	1894
460	1618	1891
461	1620	1887
462	1622	1882
463	1625	1877
464	1629	1874
465	1631	1869
466	1634	1864
467	1637	1861
468	1639	1856
469	1642	1852
470	1645	1847
471	1647	1843
472	1649	1838
473	1652	1833
474	1655	1829
475	1659	1827
476	1662	1822
477	1664	1818
478	1667	1813
479	1669	1808
480	1674	1806
481	1677	1802
482	1680	1799
483	1684	1795
484	1688	1793
485	1695	1792
486	1699	1790
487	1702	1786
488	1706	1783
489	1709	1779
490	1713	1775
491	1716	1771
492	1719	1767
493	1723	1765
494	1726	1761
495	1729	1757
496	1734	1754
497	1738	1752
498	1743	1750
499	1745	1745
500	1750	1743
501	1753	1739
502	1755	1734
503	1759	1731
504	1763	1728
505	1766	1724
506	1769	1720
507	1772	1716
508	1777	1714
509	1779	1709
510	1785	1708
511	1788	1705
512	1791	1700
513	1794	1697
514	1799	1694
515	1801	1690
516	1805	1686
517	1808	1682
518	1811	1678
519	1814	1675
520	1819	1672
521	1821	1668
522	1824	1663
523	1827	1659
524	1830	1656
525	1834	1653
526	1838	1649
527	1842	1646
528	1845	1642
529	1848	1638
530	1850	1634
531	1853	1630
532	1856	1626
533	1860	1623
534	1863	1619
535	1865	1614
536	1867	1610
537	1872	1607
538	1875	1603
539	1878	1600
540	1881	1596
541	1885	1593
542	1887	1588
543	1895	1588
544	1898	1585
545	1901	1581
546	1905	1577
547	1910	1575
548	1914	1572
549	1919	1570
550	1923	1567
551	1928	1564
552	1931	1561
553	1934	1557
554	1939	1555
555	1942	1551
556	1944	1546
557	1946	1541
558	1948	1537
559	1951	1533
560	1957	1531
561	1962	1529
562	1965	1525
563	1969	1522
564	1972	1518
565	1976	1515
566	1979	1511
567	1982	1507
568	1985	1504
569	1988	1499
570	1990	1495
571	1993	1491
572	1995	1487
573	1998	1483
574	2002	1480
575	2006	1477
576	2009	1473
577	2014	1470
578	2020	1469
579	2024	1466
580	2028	1462
581	2033	1460
582	2038	1457
583	2041	1454
584	2047	1452
585	2051	1449
586	2054	1445
587	2058	1442
588	2063	1439
589	2066	1436
590	2069	1432
591	2073	1429
592	2079	1427
593	2082	1423
594	2086	1420
595	2091	1417
596	2095	1414
597	2098	1410
598	2102	1407
599	2104	1403
600	2108	1399
601	2111	1395
602	2113	1391
603	2115	1387
604	2118	1383
605	2121	1379
606	2130	1379
607	2132	1374
608	2135	1371
609	2141	1369
610	2144	1365
611	2148	1361
612	2152	1358
613	2155	1355
614	2159	1351
615	2162	1347
616	2166	1344
617	2170	1341
618	2175	1339
619	2179	1336
620	2184	1333
621	2192	1332
622	2196	1329
623	2200	1326
624	2205	1323
625	2207	1318
626	2212	1315
627	2214	1311
628	2218	1308
629	2220	1304
630	2223	1300
631	2225	1295
632	2228	1291
633	2230	1287
634	2234	1284
635	2235	1279
636	2239	1275
637	2241	1271
638	2243	1267
639	2249	1265
640	2252	1261
641	2255	1258
642	2258	1253
643	2261	1250
644	2268	1248
645	2271	1244
646	2274	1241
647	2278	1237
648	2283	1234
649	2285	1230
650	2288	1226
651	2290	1222
652	2293	1218
653	2297	1215
654	2299	1211
655	2301	1206
656	2304	1202
657	2308	1199
658	2312	1196
659	2315	1193
660	2319	1189
661	2322	1185
662	2326	1182
663	2330	1179
664	2333	1175
665	2338	1172
666	2342	1169
667	2347	1166
668	2349	1162
669	2351	1158
670	2355	1154
671	2361	1152
672	2364	1148
673	2367	1145
674	2370	1141
675	2374	1138
676	2378	1134
677	2381	1130
678	2385	1127
679	2388	1124
680	2391	1120
681	2394	1116
682	2397	1112
683	2401	1109
684	2404	1105
685	2407	1101
686	2410	1098
687	2414	1094
688	2416	1090
689	2419	1087
690	2423	1083
691	2427	1080
692	2430	1076
693	2434	1073
694	2438	1070
695	2443	1067
696	2446	1063
697	2448	1059
698	2456	1057
699	2459	1054
700	2462	1050
701	2467	1047
702	2470	1043
703	2472	1039
704	2475	1036
705	2479	1032
706	2483	1029
707	2486	1025
708	2489	1021
709	2492	1018
710	2496	1014
711	2498	1010
712	2503	1007
713	2505	1003
714	2509	1000
715	2513	997
716	2517	993
717	2522	990
718	2526	987
719	2530	984
720	2536	981
721	2540	978
722	2544	974
723	2546	970
724	2550	967
725	2554	964
726	2559	961
727	2563	957
728	2566	954
729	2568	950
730	2572	946
731	2576	943
732	2580	939
733	2583	936
734	2587	933
735	2591	929
736	2594	925
737	2598	922
738	2602	919
739	2606	915
740	2611	912
741	2615	909
742	2618	905
743	2622	902
744	2625	898
745	2629	895
746	2632	891
747	2635	887
748	2639	884
749	2644	881
750	2646	877
751	2648	873
752	2652	869
753	2656	866
754	2660	863
755	2663	859
756	2666	855
757	2670	852
758	2673	848
759	2677	845
760	2681	842
761	2686	838
762	2690	835
763	2693	831
764	2695	828
765	2698	824
766	2702	820
767	2705	817
768	2707	813
769	2710	809
770	2713	805
771	2717	802
772	2720	798
773	2725	795
774	2729	792
775	2733	788
776	2738	785
777	2741	782
778	2747	779
779	2750	775
780	2753	772
781	2757	768
782	2762	765
783	2766	762
784	2770	758
785	2774	755
786	2778	752
787	2781	748
788	2784	744
789	2788	741
790	2793	738
791	2796	734
792	2799	730
793	2804	727
794	2807	723
795	2811	720
796	2816	717
797	2819	713
798	2823	710
799	2827	706
800	2830	703
801	2833	699
802	2837	696
803	2840	692
804	2845	689
805	2849	685
806	2853	682
807	2857	678
808	2859	675
809	2862	671
810	2864	667
811	2867	663
812	2871	660
813	2874	656
814	2876	652
815	2878	649
816	2881	645
817	2883	641
818	2886	637
819	2889	634
820	2893	630
821	2895	627
822	2901	623
823	2904	620
824	2909	617
825	2913	613
826	2916	610
827	2920	606
828	2924	603
829	2928	599
830	2931	596
831	2934	592
832	2937	588
833	2940	585
834	2943	581
835	2947	578
836	2952	574
837	2954	571
838	2958	567
839	2961	564
840	2968	561
841	2971	557
842	2974	553
843	2977	550
844	2982	547
845	2985	543
846	2987	539
847	2992	536
848	2996	532
849	2999	529
850	3003	525
851	3006	522
852	3008	518
853	3012	515
854	3015	511
855	3018	507
856	3021	504
857	3025	500
858	3028	497
859	3032	493
860	3036	490
861	3039	486
862	3043	483
863	3051	480
864	3054	476
865	3057	473
866	3061	469
867	3063	465
868	3067	462
869	3070	458
870	3075	455
871	3081	452
872	3084	448
873	3088	445
874	3094	442
875	3098	438
876	3101	435
877	3104	431
878	3110	428
879	3113	424
880	3116	420
881	3119	417
882	3124	414
883	3127	410
884	3130	406
885	3133	403
886	3138	399
887	3143	396
888	3146	392
889	3149	389
890	3152	385
891	3157	382
892	3159	378
893	3162	374
894	3164	371
895	3167	367
896	3174	364
897	3178	361
898	3181	357
899	3191	354
900	3193	350
901	3197	347
902	3203	344
903	3206	340
904	3209	336
905	3211	333
906	3215	329
907	3219	326
908	3222	322
909	3226	319
910	3230	315
911	3238	312
912	3242	308
913	3245	305
914	3253	302
915	3256	298
916	3259	295
917	3265	291
918	3269	288
919	3274	284
920	3281	281
921	3284	277
922	3287	274
923	3289	270
924	3292	266
925	3299	263
926	3302	260
927	3305	256
928	3311	253
929	3314	249
930	3318	245
931	3321	242
932	3327	238
933	3329	235
934	3332	231
935	3335	228
936	3339	224
937	3342	220
938	3347	217
939	3351	213
940	3354	210
941	3358	206
942	3361	203
943	3363	199
944	3366	195
945	3369	192
946	3375	188
947	3380	185
948	3385	181
949	3392	178
950	3396	175
951	3400	171
952	3404	167
953	3406	164
954	3409	160
955	3412	157
956	3415	153
957	3420	149
958	3424	146
959	3428	142
960	3432	139
961	3436	135
962	3438	132
963	3443	128
964	3445	124
965	3450	121
966	3453	117
967	3456	114
968	3460	110
969	3464	107
970	3468	103
971	3472	100
972	3476	96
973	3479	92
974	3483	89
975	3486	85
976	3489	82
977	3492	78
978	3495	74
979	3498	71
980	3502	67
981	3505	64
982	3509	60
983	3512	57
984	3515	53
985	3518	49
986	3521	46
987	3524	42
988	3527	39
989	3530	35
990	3533	32
991	3536	28
992	3540	24
993	3544	21
994	3549	17
995	3553	14
996	3556	10
997	3560	7
998	3564	3
999	3567	0
